country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Cuba,CU,CUB,192,Out-of-school rate for youth of upper secondary school age (administrative data),2020,14.50617,Total,,%,,,,Total
Cyprus,CY,CYP,196,Out-of-school rate for youth of upper secondary school age (administrative data),2019,8.73466,Female,,%,,,,Total
Cyprus,CY,CYP,196,Out-of-school rate for youth of upper secondary school age (administrative data),2019,6.11304,Male,,%,,,,Total
Cyprus,CY,CYP,196,Out-of-school rate for youth of upper secondary school age (administrative data),2019,7.41599,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.37116,Female,,%,,,,Total
Czech Republic,CZ,CZE,203,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.20299,Male,,%,,,,Total
Czech Republic,CZ,CZE,203,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.28495,Total,,%,,,,Total
Ivory Coast,CI,CIV,384,Out-of-school rate for youth of upper secondary school age (administrative data),2021,62.86243,Female,,%,,,,Total
Ivory Coast,CI,CIV,384,Out-of-school rate for youth of upper secondary school age (administrative data),2021,53.46087,Male,,%,,,,Total
Ivory Coast,CI,CIV,384,Out-of-school rate for youth of upper secondary school age (administrative data),2021,58.15967,Total,,%,,,,Total
Denmark,DK,DNK,208,Out-of-school rate for youth of upper secondary school age (administrative data),2019,8.77994,Female,,%,,,,Total
Denmark,DK,DNK,208,Out-of-school rate for youth of upper secondary school age (administrative data),2019,9.76807,Male,,%,,,,Total
Denmark,DK,DNK,208,Out-of-school rate for youth of upper secondary school age (administrative data),2019,9.28519,Total,,%,,,,Total
Djibouti,DJ,DJI,262,Out-of-school rate for youth of upper secondary school age (administrative data),2021,53.02546,Female,,%,,,,Total
Djibouti,DJ,DJI,262,Out-of-school rate for youth of upper secondary school age (administrative data),2021,52.33914,Male,,%,,,,Total
Djibouti,DJ,DJI,262,Out-of-school rate for youth of upper secondary school age (administrative data),2021,52.64807,Total,,%,,,,Total
Dominica,DM,DMA,212,Out-of-school rate for youth of upper secondary school age (administrative data),2020,27.04136,Female,,%,,,,Total
Dominica,DM,DMA,212,Out-of-school rate for youth of upper secondary school age (administrative data),2020,13.89173,Male,,%,,,,Total
Dominica,DM,DMA,212,Out-of-school rate for youth of upper secondary school age (administrative data),2020,20.34339,Total,,%,,,,Total
Dominican Republic,DO,DOM,214,Out-of-school rate for youth of upper secondary school age (administrative data),2020,24.7814,Female,,%,,,,Total
Dominican Republic,DO,DOM,214,Out-of-school rate for youth of upper secondary school age (administrative data),2020,27.81702,Male,,%,,,,Total
Dominican Republic,DO,DOM,214,Out-of-school rate for youth of upper secondary school age (administrative data),2020,26.31566,Total,,%,,,,Total
Ecuador,EC,ECU,218,Out-of-school rate for youth of upper secondary school age (administrative data),2020,20.36597,Female,,%,,,,Total
Ecuador,EC,ECU,218,Out-of-school rate for youth of upper secondary school age (administrative data),2020,22.25224,Male,,%,,,,Total
Ecuador,EC,ECU,218,Out-of-school rate for youth of upper secondary school age (administrative data),2020,21.32748,Total,,%,,,,Total
Egypt,EG,EGY,818,Out-of-school rate for youth of upper secondary school age (administrative data),2019,24.1314,Female,,%,,,,Total
Egypt,EG,EGY,818,Out-of-school rate for youth of upper secondary school age (administrative data),2019,22.73528,Male,,%,,,,Total
Egypt,EG,EGY,818,Out-of-school rate for youth of upper secondary school age (administrative data),2019,23.41334,Total,,%,,,,Total
El Salvador,SV,SLV,222,Out-of-school rate for youth of upper secondary school age (administrative data),2021,40.72636,Female,,%,,,,Total
El Salvador,SV,SLV,222,Out-of-school rate for youth of upper secondary school age (administrative data),2021,42.01525,Male,,%,,,,Total
El Salvador,SV,SLV,222,Out-of-school rate for youth of upper secondary school age (administrative data),2021,41.3754,Total,,%,,,,Total
Eritrea,ER,ERI,232,Out-of-school rate for youth of upper secondary school age (administrative data),2018,52.58804,Female,,%,,,,Total
Eritrea,ER,ERI,232,Out-of-school rate for youth of upper secondary school age (administrative data),2018,44.9303,Male,,%,,,,Total
Eritrea,ER,ERI,232,Out-of-school rate for youth of upper secondary school age (administrative data),2018,48.69667,Total,,%,,,,Total
Estonia,EE,EST,233,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.20429,Female,,%,,,,Total
Estonia,EE,EST,233,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.78811,Male,,%,,,,Total
Estonia,EE,EST,233,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.99149,Total,,%,,,,Total
Swaziland,SZ,SWZ,748,Out-of-school rate for youth of upper secondary school age (administrative data),2015,18.07501,Female,,%,,,,Total
Swaziland,SZ,SWZ,748,Out-of-school rate for youth of upper secondary school age (administrative data),2015,14.33211,Male,,%,,,,Total
Swaziland,SZ,SWZ,748,Out-of-school rate for youth of upper secondary school age (administrative data),2015,16.18668,Total,,%,,,,Total
Ethiopia,ET,ETH,231,Out-of-school rate for youth of upper secondary school age (administrative data),2015,75.24028,Female,,%,,,,Total
Ethiopia,ET,ETH,231,Out-of-school rate for youth of upper secondary school age (administrative data),2015,72.80989,Male,,%,,,,Total
Ethiopia,ET,ETH,231,Out-of-school rate for youth of upper secondary school age (administrative data),2015,74.01042,Total,,%,,,,Total
Fiji,FJ,FJI,242,Out-of-school rate for youth of upper secondary school age (administrative data),2020,9.23726,Female,,%,,,,Total
Fiji,FJ,FJI,242,Out-of-school rate for youth of upper secondary school age (administrative data),2020,24.27176,Male,,%,,,,Total
Fiji,FJ,FJI,242,Out-of-school rate for youth of upper secondary school age (administrative data),2020,16.97782,Total,,%,,,,Total
Finland,FI,FIN,246,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.91382,Female,,%,,,,Total
Finland,FI,FIN,246,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.77248,Male,,%,,,,Total
Finland,FI,FIN,246,Out-of-school rate for youth of upper secondary school age (administrative data),2019,3.81659,Total,,%,,,,Total
France,FR,FRA,250,Out-of-school rate for youth of upper secondary school age (administrative data),2019,3.63803,Female,,%,,,,Total
France,FR,FRA,250,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.50545,Male,,%,,,,Total
France,FR,FRA,250,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.08296,Total,,%,,,,Total
Gabon,GA,GAB,266,Out-of-school rate for youth of upper secondary school age (administrative data),2019,40.01954,Female,,%,,,,Total
Gabon,GA,GAB,266,Out-of-school rate for youth of upper secondary school age (administrative data),2019,43.57113,Male,,%,,,,Total
Gabon,GA,GAB,266,Out-of-school rate for youth of upper secondary school age (administrative data),2019,41.80676,Total,,%,,,,Total
Gambia,GM,GMB,270,Out-of-school rate for youth of upper secondary school age (administrative data),2021,36.7911,Female,,%,,,,Total
Gambia,GM,GMB,270,Out-of-school rate for youth of upper secondary school age (administrative data),2021,48.38994,Male,,%,,,,Total
Gambia,GM,GMB,270,Out-of-school rate for youth of upper secondary school age (administrative data),2021,42.60082,Total,,%,,,,Total
Georgia,GE,GEO,268,Out-of-school rate for youth of upper secondary school age (administrative data),2020,3.58403,Female,,%,,,,Total
Georgia,GE,GEO,268,Out-of-school rate for youth of upper secondary school age (administrative data),2020,6.32259,Male,,%,,,,Total
Georgia,GE,GEO,268,Out-of-school rate for youth of upper secondary school age (administrative data),2020,5.03598,Total,,%,,,,Total
Germany,DE,DEU,276,Out-of-school rate for youth of upper secondary school age (administrative data),2019,15.47586,Female,,%,,,,Total
Germany,DE,DEU,276,Out-of-school rate for youth of upper secondary school age (administrative data),2019,14.12028,Male,,%,,,,Total
Germany,DE,DEU,276,Out-of-school rate for youth of upper secondary school age (administrative data),2019,14.77075,Total,,%,,,,Total
Ghana,GH,GHA,288,Out-of-school rate for youth of upper secondary school age (administrative data),2020,24.65227,Female,,%,,,,Total
Ghana,GH,GHA,288,Out-of-school rate for youth of upper secondary school age (administrative data),2020,25.00309,Male,,%,,,,Total
Ghana,GH,GHA,288,Out-of-school rate for youth of upper secondary school age (administrative data),2020,24.83153,Total,,%,,,,Total
Greece,GR,GRC,300,Out-of-school rate for youth of upper secondary school age (administrative data),2018,6.21379,Female,,%,,,,Total
Greece,GR,GRC,300,Out-of-school rate for youth of upper secondary school age (administrative data),2018,3.81996,Male,,%,,,,Total
Greece,GR,GRC,300,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.00562,Total,,%,,,,Total
Grenada,GD,GRD,308,Out-of-school rate for youth of upper secondary school age (administrative data),2016,11.4098,Female,,%,,,,Total
Grenada,GD,GRD,308,Out-of-school rate for youth of upper secondary school age (administrative data),2016,11.6657,Male,,%,,,,Total
Grenada,GD,GRD,308,Out-of-school rate for youth of upper secondary school age (administrative data),2018,0.13537,Total,,%,,,,Total
Guatemala,GT,GTM,320,Out-of-school rate for youth of upper secondary school age (administrative data),2020,64.20129,Female,,%,,,,Total
Guatemala,GT,GTM,320,Out-of-school rate for youth of upper secondary school age (administrative data),2020,61.8744,Male,,%,,,,Total
Guatemala,GT,GTM,320,Out-of-school rate for youth of upper secondary school age (administrative data),2020,63.0151,Total,,%,,,,Total
Guinea,GN,GIN,324,Out-of-school rate for youth of upper secondary school age (administrative data),2016,78.44389,Female,,%,,,,Total
Guinea,GN,GIN,324,Out-of-school rate for youth of upper secondary school age (administrative data),2016,62.97774,Male,,%,,,,Total
Guinea,GN,GIN,324,Out-of-school rate for youth of upper secondary school age (administrative data),2016,70.63212,Total,,%,,,,Total
Holy See (Vatican City State),VA,VAT,336,Out-of-school rate for youth of upper secondary school age (administrative data),2022,0,Female,,%,,,,Total
Holy See (Vatican City State),VA,VAT,336,Out-of-school rate for youth of upper secondary school age (administrative data),2022,0,Male,,%,,,,Total
Holy See (Vatican City State),VA,VAT,336,Out-of-school rate for youth of upper secondary school age (administrative data),2022,0,Total,,%,,,,Total
Honduras,HN,HND,340,Out-of-school rate for youth of upper secondary school age (administrative data),2018,54.91741,Female,,%,,,,Total
Honduras,HN,HND,340,Out-of-school rate for youth of upper secondary school age (administrative data),2018,60.40761,Male,,%,,,,Total
Honduras,HN,HND,340,Out-of-school rate for youth of upper secondary school age (administrative data),2018,57.71719,Total,,%,,,,Total
Hungary,HU,HUN,348,Out-of-school rate for youth of upper secondary school age (administrative data),2019,11.36946,Female,,%,,,,Total
Hungary,HU,HUN,348,Out-of-school rate for youth of upper secondary school age (administrative data),2019,12.5985,Male,,%,,,,Total
Hungary,HU,HUN,348,Out-of-school rate for youth of upper secondary school age (administrative data),2019,12.00141,Total,,%,,,,Total
Iceland,IS,ISL,352,Out-of-school rate for youth of upper secondary school age (administrative data),2019,14.23123,Female,,%,,,,Total
Iceland,IS,ISL,352,Out-of-school rate for youth of upper secondary school age (administrative data),2019,17.30457,Male,,%,,,,Total
Iceland,IS,ISL,352,Out-of-school rate for youth of upper secondary school age (administrative data),2019,15.78885,Total,,%,,,,Total
India,IN,IND,356,Out-of-school rate for youth of upper secondary school age (administrative data),2020,41.208,Female,,%,,,,Total
India,IN,IND,356,Out-of-school rate for youth of upper secondary school age (administrative data),2020,43.41661,Male,,%,,,,Total
India,IN,IND,356,Out-of-school rate for youth of upper secondary school age (administrative data),2020,42.37582,Total,,%,,,,Total
Indonesia,ID,IDN,360,Out-of-school rate for youth of upper secondary school age (administrative data),2018,22.19379,Female,,%,,,,Total
Indonesia,ID,IDN,360,Out-of-school rate for youth of upper secondary school age (administrative data),2018,22.84777,Male,,%,,,,Total
Indonesia,ID,IDN,360,Out-of-school rate for youth of upper secondary school age (administrative data),2018,22.52996,Total,,%,,,,Total
"Iran, Islamic Republic of",IR,IRN,364,Out-of-school rate for youth of upper secondary school age (administrative data),2020,17.51694,Female,,%,,,,Total
"Iran, Islamic Republic of",IR,IRN,364,Out-of-school rate for youth of upper secondary school age (administrative data),2020,17.03613,Male,,%,,,,Total
"Iran, Islamic Republic of",IR,IRN,364,Out-of-school rate for youth of upper secondary school age (administrative data),2020,17.27065,Total,,%,,,,Total
Ireland,IE,IRL,372,Out-of-school rate for youth of upper secondary school age (administrative data),2018,0.94896,Female,,%,,,,Total
Ireland,IE,IRL,372,Out-of-school rate for youth of upper secondary school age (administrative data),2018,1.76062,Male,,%,,,,Total
Ireland,IE,IRL,372,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.77185,Total,,%,,,,Total
Israel,IL,ISR,376,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.98906,Total,,%,,,,Total
Italy,IT,ITA,380,Out-of-school rate for youth of upper secondary school age (administrative data),2019,5.2918,Female,,%,,,,Total
Italy,IT,ITA,380,Out-of-school rate for youth of upper secondary school age (administrative data),2019,6.13649,Male,,%,,,,Total
Italy,IT,ITA,380,Out-of-school rate for youth of upper secondary school age (administrative data),2019,5.72865,Total,,%,,,,Total
Jamaica,JM,JAM,388,Out-of-school rate for youth of upper secondary school age (administrative data),2020,33.2662,Female,,%,,,,Total
Jamaica,JM,JAM,388,Out-of-school rate for youth of upper secondary school age (administrative data),2020,57.41293,Male,,%,,,,Total
Jamaica,JM,JAM,388,Out-of-school rate for youth of upper secondary school age (administrative data),2020,45.59831,Total,,%,,,,Total
Jordan,JO,JOR,400,Out-of-school rate for youth of upper secondary school age (administrative data),2020,40.67588,Female,,%,,,,Total
Jordan,JO,JOR,400,Out-of-school rate for youth of upper secondary school age (administrative data),2020,46.12243,Male,,%,,,,Total
Jordan,JO,JOR,400,Out-of-school rate for youth of upper secondary school age (administrative data),2020,43.42413,Total,,%,,,,Total
Kazakhstan,KZ,KAZ,398,Out-of-school rate for youth of upper secondary school age (administrative data),2018,1.08328,Total,,%,,,,Total
Kuwait,KW,KWT,414,Out-of-school rate for youth of upper secondary school age (administrative data),2015,16.96256,Female,,%,,,,Total
Kuwait,KW,KWT,414,Out-of-school rate for youth of upper secondary school age (administrative data),2015,19.54556,Male,,%,,,,Total
